order_id,customer_id,email,phone,order_amount,quantity,discount_pct,order_date,status,product_category,product_name,payment_type,shipping_country
ORD-10000,CUST-8359,  ***@outlook.com  ,***-***-3615,3046.68,9,25,2023-03-09,Pending,Clothing,J***,Debit Card,MASKED_3a52f3c2
ORD-10001,CUST-6925,cc***@yahoo.com,***-***-1750,-5.86,9,25,2025-07-16,Shipped,Toys,L***,Debit Card,MASKED_76423d83
ORD-10002,CUST-1916,***@domain.com,***-***-5386,4050.42,6,0,2022-08-05,  Shipped  ,Beauty,P***,Barter,MASKED_0f177369
ORD-10003,CUST-7916,dd***@gmail.com,***-***-one),--,3,20,2023-03-16,Cancelled,Beauty,M***,Credit Card,MASKED_19d3326f
ORD-10004,CUST-9689,  ***@company.io,***-***-1319,364712.34,3,0,2023-01-07,delivered,Sports,D***,Credit Card,MASKED_3a52f3c2
ORD-10005,CUST-9835,  ***@outlook.com  ,***-***-6107,5401.69,7,15,2023-11-19,Pending,Clothing,J***,Bank Transfer,MASKED_19d3326f
ORD-10006,CUST-3167,gb***@company.io,***-***-4981,-211.35,8,15,2025-08-12,Delivered,Food,O***,Credit Card,MASKED_76423d83
ORD-10007,CUST-2235,us***@gmail.com,***-***-9856,630677.74,8,0,2023-03-16,  Pending  ,Beauty,L***,gift card,MASKED_0f177369
ORD-10008,CUST-9883,wx***@enterprise.net,***-***-123,MISSING,4,20,2023-03-16,Cancelled,Food,T***,Debit Card,MASKED_7516fd43
ORD-10009,CUST-7484,  ***@enterprise.net,***-***-8491,409601.35,6,10,2024-02-09,REFUNDED,CLOTHING,T***,Bank Transfer,MASKED_24d22e03
ORD-10010,CUST-9666,  ***@outlook.com  ,***-***-2697,2456.4,5,5,2022-09-28,ERROR,Clothing,T***,Cash,MASKED_c86ee0d9
ORD-10011,CUST-5291,ps***@enterprise.net,***-***-8007,-177.98,3,20,2026-05-01,Pending,Sports,Y***,Debit Card,MASKED_19d3326f
ORD-10012,CUST-7658,us***@.com,***-***-3662,MISSING,9,5,2024-06-21,  Pending  ,Electronics,L***,Voucher,MASKED_3e8d115e
ORD-10013,CUST-4164,gu***@outlook.com,***-***-ghij,MISSING,4,10,2023-03-16,Refunded,Beauty,F***,Bank Transfer,MASKED_19d3326f
ORD-10014,CUST-4114,  ***@gmail.com,***-***-1027,506461.71,2,20,2024-04-05,delivered,Toys,A***,PayPal,MASKED_6cc98ba2
ORD-10015,CUST-5930,  ***@outlook.com  ,***-***-5700,1482.99,3,5,2023-03-17,ERROR,Clothing,S***,PayPal,MASKED_0f177369
ORD-10016,CUST-2193,rn***@hotmail.com,***-***-4185,-43.93,8,25,2026-11-12,Delivered,Food,V***,Bank Transfer,MASKED_3a52f3c2
ORD-10017,CUST-8612,***@***.***,***-***-6198,735.78,2,15,2023-09-20,  Processing  ,Books,C***,Voucher,MASKED_19d3326f
