user_id,age,salary,email,score,country,signup_date
1,40.0,78954.5,us***@example.com,51.78,IN,2023-01-01
2,56.0,39268.0,us***@example.com,12.21,US,2023-01-04
3,46.0,116807.0,us***@example.com,35.63,UK,2023-01-07
4,32.0,42185.0,us***@example.com,90.68,DE,2023-01-10
5,60.0,93704.0,us***@example.com,27.21,FR,2023-01-13
6,25.0,78954.5,us***@example.com,64.77,IN,2023-01-16
7,38.0,116779.0,us***@example.com,0.05,US,2023-01-19
8,40.0,69099.0,us***@example.com,35.26,UK,2023-01-22
9,56.0,38571.0,us***@example.com,51.78,DE,2023-01-25
10,36.0,68044.0,us***@example.com,30.48,FR,2023-01-28
11,40.0,78954.5,us***@example.com,16.47,IN,2023-01-31
12,28.0,81214.0,us***@example.com,53.41,US,2023-02-03
13,28.0,91228.0,us***@example.com,48.48,UK,2023-02-06
14,41.0,78984.0,us***@example.com,69.24,DE,2023-02-09
15,40.0,70774.0,us***@example.com,26.94,FR,2023-02-12
16,53.0,78954.5,us***@example.com,24.41,IN,2023-02-15
17,57.0,32568.0,us***@example.com,51.78,US,2023-02-18
18,41.0,92592.0,us***@example.com,16.83,UK,2023-02-21
19,20.0,97563.0,us***@example.com,21.88,DE,2023-02-24
20,39.0,32695.0,us***@example.com,55.81,FR,2023-02-27
21,19.0,78954.5,us***@example.com,40.38,IN,2023-03-02
22,40.0,78190.0,us***@example.com,6.49,US,2023-03-05
23,41.0,35258.0,us***@example.com,25.39,UK,2023-03-08
24,61.0,117538.0,us***@example.com,24.69,DE,2023-03-11
25,47.0,69504.0,us***@example.com,51.78,FR,2023-03-14
26,55.0,78954.5,us***@example.com,69.63,IN,2023-03-17
27,19.0,63159.0,us***@example.com,71.23,US,2023-03-20
28,38.0,43986.0,us***@example.com,14.81,UK,2023-03-23
29,40.0,91858.0,us***@example.com,99.77,DE,2023-03-26
30,50.0,42666.0,us***@example.com,26.68,FR,2023-03-29
31,29.0,78954.5,us***@example.com,97.66,IN,2023-04-01
32,39.0,68660.0,us***@example.com,41.1,US,2023-04-04
33,61.0,33561.0,us***@example.com,51.78,UK,2023-04-07
34,42.0,56854.0,us***@example.com,3.31,DE,2023-04-10
