id,name,age,salary,city,score,join_date,comment
***-***-1,M***,30.0,***-***-00.0,KO***,61.87,***-***-5-10,excellent!!!
***-***-2,V***,35.0,***-***-00.0,NY***,40.73,,
***-***-3,N***,35.0,,MU***,85.1,***-***-date,excellent!!!
***-***-4,E***,25.0,***-***-00.0,BA***,,***-***-3-40,avg
***-***-5,G***,30.0,***-***-00.0,HY***,65.96,***-***-1-01,good
***-***-6,Z***,30.0,***-***-00.0,CH***,95.37,***-***-3-40,excellent!!!
***-***-7,N***,-5.0,***-***-00.0,HY***,90.01,***-***-5-10,bad
***-***-8,Q***,20.0,***-***-00.0,NY***,70.23,***-***-1-01,excellent!!!
***-***-9,U***,25.0,***-***-00.0,,59.65,***-***-1-01,#na#
***-***-10,S***,20.0,,CH***,15.79,***-***-5-10,bad
***-***-11,D***,-5.0,***-***-00.0,NY***,,***-***-3-40,good
***-***-12,N***,20.0,***-***-00.0,,,***-***-1-01,avg
***-***-13,A***,35.0,***-***-00.0,LO***,,***-***-3-40,#na#
***-***-14,C***,40.0,***-***-00.0,MU***,47.23,***-***-1-01,#na#
***-***-15,M***,40.0,***-***-00.0,BA***,64.46,,???
***-***-16,G***,40.0,,BA***,27.44,***-***-5-10,bad
***-***-17,N***,20.0,***-***-00.0,PU***,62.99,***-***-5-10,avg
***-***-18,E***,-5.0,***-***-00.0,HY***,16.52,***-***-5-10,???
***-***-19,S***,-5.0,***-***-00.0,LO***,95.07,***-***-3-40,good
***-***-20,D***,35.0,***-***-00.0,,31.87,***-***-5-10,bad
***-***-21,Z***,35.0,***-***-00.0,KO***,17.54,***-***-3-40,???
***-***-22,X***,40.0,***-***-00.0,NY***,10.43,***-***-5-10,???
***-***-23,W***,,***-***-00.0,CH***,18.41,***-***-3-40,???
***-***-24,I***,35.0,***-***-00.0,KO***,69.98,,avg
***-***-25,X***,999.0,,KO***,69.59,***-***-3-40,#na#
***-***-26,Y***,,,MU***,74.17,,#na#
***-***-27,M***,35.0,***-***-00.0,MU***,28.37,***-***-1-01,avg
***-***-28,G***,,***-***-00.0,KO***,12.2,,excellent!!!
***-***-29,L***,999.0,***-***-00.0,CH***,70.2,***-***-date,avg
***-***-30,B***,,***-***-00.0,CH***,22.58,***-***-3-40,#na#
***-***-31,L***,999.0,***-***-00.0,HY***,45.61,***-***-date,#na#
***-***-32,G***,35.0,***-***-00.0,,32.89,***-***-1-01,excellent!!!
***-***-33,M***,20.0,***-***-00.0,,79.07,,excellent!!!
***-***-34,B***,,***-***-00.0,,94.26,***-***-date,#na#
***-***-35,M***,20.0,***-***-00.0,LO***,26.11,***-***-date,bad
***-***-36,B***,,***-***-00.0,LO***,78.14,***-***-3-40,avg
***-***-37,T***,30.0,***-***-00.0,MU***,70.99,***-***-5-10,#na#
***-***-38,L***,999.0,***-***-00.0,,36.95,***-***-5-10,bad
***-***-39,U***,999.0,***-***-00.0,HY***,17.87,***-***-date,
***-***-40,R***,999.0,***-***-00.0,DE***,43.2,,excellent!!!
***-***-41,W***,-5.0,***-***-00.0,DE***,,***-***-date,good
***-***-42,L***,999.0,***-***-00.0,KO***,,***-***-5-10,#na#
***-***-43,J***,,***-***-00.0,CH***,55.17,***-***-3-40,#na#
***-***-44,P***,999.0,,LO***,23.16,,excellent!!!
***-***-45,L***,40.0,***-***-00.0,HY***,26.63,***-***-5-10,good
***-***-46,Q***,20.0,,,75.94,***-***-3-40,#na#
***-***-47,Z***,999.0,***-***-00.0,DE***,15.44,,bad
***-***-48,A***,20.0,***-***-00.0,CH***,61.48,***-***-5-10,???
***-***-49,Q***,20.0,***-***-00.0,LO***,66.23,***-***-1-01,good
***-***-50,N***,35.0,***-***-00.0,HY***,54.06,***-***-3-40,avg
***-***-51,E***,20.0,***-***-00.0,NY***,40.18,***-***-1-01,???
***-***-52,V***,35.0,***-***-00.0,CH***,,***-***-5-10,???
***-***-53,B***,-5.0,***-***-00.0,MU***,97.5,,excellent!!!
***-***-54,L***,40.0,***-***-00.0,MU***,86.53,***-***-date,avg
***-***-55,H***,20.0,***-***-00.0,MU***,26.46,***-***-1-01,???
***-***-56,N***,20.0,***-***-00.0,PU***,8.78,***-***-1-01,avg
***-***-57,X***,999.0,,BA***,,***-***-date,
***-***-58,X***,35.0,***-***-00.0,DE***,48.97,***-***-date,#na#
***-***-59,B***,30.0,***-***-00.0,CH***,39.48,***-***-5-10,#na#
***-***-60,S***,40.0,***-***-00.0,NY***,30.68,,
***-***-61,H***,40.0,***-***-00.0,MU***,69.93,***-***-5-10,good
***-***-62,Y***,40.0,***-***-00.0,NY***,84.73,***-***-5-10,excellent!!!
***-***-63,O***,20.0,***-***-00.0,KO***,68.46,***-***-date,good
***-***-64,S***,35.0,***-***-00.0,KO***,80.03,,good
***-***-65,,25.0,***-***-00.0,,2.91,***-***-date,#na#
***-***-66,M***,35.0,,HY***,,***-***-1-01,bad
***-***-67,P***,35.0,***-***-00.0,PU***,56.19,***-***-date,???
***-***-68,C***,35.0,***-***-00.0,CH***,17.26,,good
***-***-69,Z***,-5.0,***-***-00.0,CH***,10.7,***-***-date,excellent!!!
***-***-70,C***,-5.0,***-***-00.0,KO***,41.95,***-***-5-10,
***-***-71,,40.0,***-***-00.0,BA***,,***-***-date,bad
***-***-72,W***,30.0,***-***-00.0,KO***,27.03,***-***-3-40,#na#
***-***-73,H***,40.0,***-***-00.0,KO***,41.88,,avg
***-***-74,F***,30.0,***-***-00.0,BA***,59.47,***-***-3-40,avg
***-***-75,D***,,,MU***,7.95,***-***-date,#na#
***-***-76,X***,25.0,***-***-00.0,MU***,25.39,,bad
***-***-77,E***,-5.0,***-***-00.0,DE***,17.33,***-***-3-40,???
***-***-78,V***,-5.0,***-***-00.0,NY***,32.77,***-***-1-01,#na#
***-***-79,Q***,,,PU***,71.09,***-***-5-10,bad
***-***-80,,999.0,***-***-00.0,BA***,73.9,***-***-3-40,excellent!!!
***-***-81,A***,,***-***-00.0,HY***,18.5,***-***-1-01,
***-***-82,I***,999.0,***-***-00.0,LO***,77.11,***-***-date,good
***-***-83,E***,,***-***-00.0,,98.55,,good
***-***-84,J***,40.0,***-***-00.0,LO***,27.72,***-***-date,???
***-***-85,G***,999.0,***-***-00.0,MU***,59.09,***-***-5-10,good
***-***-86,,25.0,***-***-00.0,KO***,98.57,***-***-3-40,???
***-***-87,Z***,25.0,***-***-00.0,HY***,,***-***-date,excellent!!!
***-***-88,K***,999.0,***-***-00.0,,0.97,,excellent!!!
***-***-89,O***,,,BA***,52.48,,#na#
***-***-90,L***,40.0,***-***-00.0,KO***,16.62,***-***-3-40,avg
***-***-91,T***,999.0,,LO***,,***-***-3-40,#na#
***-***-92,U***,35.0,,DE***,18.2,,???
***-***-93,F***,999.0,***-***-00.0,NY***,89.33,,???
***-***-94,K***,20.0,***-***-00.0,KO***,45.0,***-***-date,good
***-***-95,G***,,***-***-00.0,,40.38,***-***-date,good
***-***-96,N***,30.0,***-***-00.0,MU***,47.2,,good
***-***-97,,40.0,***-***-00.0,HY***,72.24,,???
***-***-98,P***,,***-***-00.0,NY***,25.93,***-***-date,#na#
***-***-99,J***,-5.0,***-***-00.0,NY***,44.22,***-***-5-10,
***-***-100,N***,,***-***-00.0,BA***,85.85,***-***-date,???
***-***-101,J***,25.0,***-***-00.0,KO***,60.15,***-***-date,#na#
***-***-102,P***,-5.0,***-***-00.0,MU***,71.81,***-***-1-01,good
***-***-103,O***,20.0,***-***-00.0,CH***,61.42,***-***-1-01,#na#
***-***-104,R***,999.0,***-***-00.0,CH***,56.34,***-***-3-40,#na#
***-***-105,K***,40.0,***-***-00.0,HY***,55.82,,bad
***-***-106,Y***,,***-***-00.0,NY***,15.73,***-***-5-10,#na#
***-***-107,Y***,30.0,***-***-00.0,BA***,40.11,***-***-3-40,#na#
***-***-108,W***,-5.0,***-***-00.0,MU***,34.24,***-***-5-10,???
***-***-109,H***,999.0,***-***-00.0,KO***,61.47,***-***-date,good
***-***-110,X***,25.0,***-***-00.0,CH***,,***-***-3-40,???
***-***-111,G***,999.0,***-***-00.0,PU***,6.35,***-***-date,bad
***-***-112,C***,,***-***-00.0,PU***,6.61,,excellent!!!
***-***-113,L***,,,PU***,98.31,***-***-date,good
***-***-114,R***,35.0,***-***-00.0,BA***,90.38,***-***-date,
***-***-115,P***,30.0,***-***-00.0,LO***,15.83,***-***-5-10,good
***-***-116,,30.0,,PU***,29.46,,???
***-***-117,M***,999.0,,KO***,78.92,***-***-1-01,???
***-***-118,L***,999.0,***-***-00.0,KO***,38.49,,???
***-***-119,J***,40.0,***-***-00.0,PU***,15.2,***-***-5-10,#na#
***-***-120,L***,30.0,***-***-00.0,KO***,78.63,***-***-5-10,???
***-***-121,L***,999.0,***-***-00.0,LO***,5.46,***-***-3-40,
***-***-122,X***,,***-***-00.0,LO***,39.32,***-***-5-10,excellent!!!
***-***-123,C***,25.0,***-***-00.0,PU***,93.31,***-***-5-10,#na#
***-***-124,T***,-5.0,***-***-00.0,DE***,99.23,***-***-date,good
***-***-125,S***,999.0,***-***-00.0,PU***,21.36,***-***-3-40,good
***-***-126,Y***,30.0,***-***-00.0,LO***,96.35,***-***-date,avg
***-***-127,V***,25.0,***-***-00.0,NY***,,***-***-date,#na#
***-***-128,M***,30.0,,,38.44,***-***-5-10,bad
***-***-129,F***,999.0,***-***-00.0,KO***,76.54,***-***-date,excellent!!!
***-***-130,N***,999.0,***-***-00.0,LO***,84.64,***-***-5-10,good
***-***-131,L***,35.0,***-***-00.0,DE***,80.67,***-***-date,excellent!!!
***-***-132,P***,,***-***-00.0,KO***,79.13,***-***-5-10,bad
***-***-133,P***,20.0,***-***-00.0,KO***,0.36,***-***-1-01,avg
***-***-134,V***,,,LO***,61.56,***-***-date,avg
***-***-135,E***,-5.0,***-***-00.0,NY***,,***-***-3-40,
***-***-136,O***,20.0,***-***-00.0,CH***,15.6,***-***-1-01,avg
***-***-137,Q***,,***-***-00.0,LO***,26.02,***-***-date,avg
***-***-138,X***,25.0,***-***-00.0,DE***,41.55,***-***-date,good
***-***-139,P***,-5.0,***-***-00.0,DE***,47.76,***-***-1-01,#na#
***-***-140,S***,-5.0,***-***-00.0,LO***,8.36,***-***-5-10,???
***-***-141,F***,999.0,***-***-00.0,CH***,70.52,***-***-1-01,excellent!!!
***-***-142,I***,999.0,***-***-00.0,HY***,76.2,,bad
***-***-143,H***,35.0,***-***-00.0,KO***,2.99,,bad
***-***-144,V***,40.0,***-***-00.0,,20.37,***-***-date,
***-***-145,T***,30.0,***-***-00.0,,23.82,***-***-3-40,#na#
***-***-146,A***,35.0,,KO***,32.45,***-***-1-01,
***-***-147,R***,35.0,***-***-00.0,NY***,79.8,***-***-5-10,excellent!!!
***-***-148,F***,30.0,***-***-00.0,HY***,20.5,***-***-3-40,good
***-***-149,V***,35.0,***-***-00.0,PU***,73.17,,???
***-***-150,M***,35.0,,BA***,16.17,***-***-date,avg
***-***-151,O***,,***-***-00.0,CH***,56.07,,
***-***-152,T***,999.0,,DE***,29.5,***-***-date,???
***-***-153,R***,30.0,***-***-00.0,PU***,14.36,***-***-5-10,good
***-***-154,A***,-5.0,***-***-00.0,LO***,54.74,***-***-date,#na#
***-***-155,B***,35.0,***-***-00.0,KO***,,***-***-3-40,avg
***-***-156,A***,-5.0,***-***-00.0,MU***,65.38,***-***-date,avg
***-***-157,M***,25.0,***-***-00.0,KO***,5.53,***-***-5-10,excellent!!!
***-***-158,A***,25.0,***-***-00.0,BA***,,***-***-1-01,bad
***-***-159,D***,25.0,***-***-00.0,PU***,57.68,***-***-date,excellent!!!
***-***-160,N***,30.0,***-***-00.0,HY***,7.08,***-***-3-40,#na#
***-***-161,G***,20.0,***-***-00.0,PU***,83.76,***-***-1-01,???
***-***-162,Q***,999.0,,LO***,,***-***-3-40,???
***-***-163,Q***,20.0,***-***-00.0,LO***,5.58,***-***-1-01,good
***-***-164,,40.0,,PU***,27.48,***-***-3-40,excellent!!!
***-***-165,S***,,***-***-00.0,PU***,24.82,***-***-3-40,avg
***-***-166,R***,40.0,***-***-00.0,LO***,26.4,***-***-3-40,avg
***-***-167,C***,20.0,***-***-00.0,,89.99,***-***-date,avg
***-***-168,X***,999.0,***-***-00.0,PU***,62.04,***-***-1-01,good
***-***-169,P***,30.0,***-***-00.0,MU***,32.38,***-***-date,
***-***-170,X***,35.0,***-***-00.0,CH***,89.55,***-***-date,???
***-***-171,H***,20.0,***-***-00.0,MU***,46.81,***-***-3-40,#na#
***-***-172,K***,25.0,***-***-00.0,DE***,30.63,***-***-5-10,avg
***-***-173,U***,25.0,,NY***,90.97,,excellent!!!
***-***-174,C***,35.0,***-***-00.0,BA***,,,excellent!!!
***-***-175,P***,40.0,***-***-00.0,MU***,26.95,***-***-3-40,bad
***-***-176,,30.0,***-***-00.0,PU***,79.6,***-***-1-01,bad
***-***-177,Y***,999.0,,MU***,8.04,***-***-5-10,#na#
***-***-178,N***,,***-***-00.0,MU***,1.7,***-***-date,bad
***-***-179,H***,,,PU***,73.54,***-***-1-01,???
***-***-180,L***,25.0,***-***-00.0,CH***,93.05,***-***-3-40,
***-***-181,I***,30.0,***-***-00.0,NY***,1.13,***-***-3-40,excellent!!!
***-***-182,,-5.0,***-***-00.0,PU***,80.65,***-***-3-40,avg
***-***-183,N***,35.0,,CH***,88.51,***-***-1-01,bad
***-***-184,V***,40.0,***-***-00.0,,42.39,***-***-1-01,avg
***-***-185,Y***,25.0,***-***-00.0,BA***,37.66,,
***-***-186,C***,,***-***-00.0,CH***,21.75,***-***-3-40,excellent!!!
***-***-187,W***,-5.0,***-***-00.0,NY***,24.61,,
***-***-188,X***,25.0,***-***-00.0,KO***,24.54,***-***-5-10,???
***-***-189,F***,40.0,***-***-00.0,,90.72,***-***-3-40,avg
***-***-190,T***,999.0,***-***-00.0,HY***,7.52,***-***-date,
***-***-191,J***,35.0,***-***-00.0,PU***,89.17,,avg
***-***-192,C***,-5.0,***-***-00.0,HY***,64.26,***-***-3-40,excellent!!!
***-***-193,Z***,20.0,***-***-00.0,KO***,50.54,***-***-5-10,bad
***-***-194,R***,20.0,***-***-00.0,MU***,93.72,***-***-5-10,avg
