user_id,age,salary,score,country,email,signup_date
***-***-1,***-***-22,***-***-9244,***-***-6796,IN,us***@example.com,***-***-1-01
***-***-2,***-***-43,***-***-6784,***-***-0356,US,us***@example.com,***-***-1-06
***-***-3,***-***-21,***-***-5413,***-***-2533,INVALID_CC,us***@example.com,***-***-1-11
***-***-4,***-***-37,***-***-1556,***-***-3843,XX,us***@example.com,***-***-1-16
***-***-5,***-***-41,***-***-1779,***-***-2305,UK,us***@example.com,***-***-1-21
***-***-6,***-***-57,***-***-7259,***-***-1952,IN,us***@example.com,***-***-1-26
***-***-7,***-***-46,***-***-0961,***-***-1455,US,us***@example.com,***-***-1-31
***-***-8,***-***-32,***-***-7059,***-***-1611,INVALID_CC,us***@example.com,***-***-2-05
***-***-9,***-***-41,***-***-5259,***-***-7332,XX,us***@example.com,***-***-2-10
***-***-10,***-***-26,***-***-3220,***-***-0084,UK,us***@example.com,***-***-2-15
***-***-11,***-***-43,***-***-3401,***-***-7322,IN,us***@example.com,***-***-2-20
***-***-12,***-***-64,***-***-8805,***-***-3028,US,us***@example.com,***-***-2-25
***-***-13,***-***-60,***-***-5085,***-***-2339,INVALID_CC,us***@example.com,***-***-3-02
***-***-14,***-***-44,***-***-5249,***-***-4131,XX,us***@example.com,***-***-3-07
***-***-15,***-***-26,***-***-6975,***-***-2103,UK,us***@example.com,***-***-3-12
***-***-16,***-***-57,***-***-6210,***-***-6018,IN,us***@example.com,***-***-3-17
***-***-17,***-***-56,***-***-8931,***-***-0418,US,us***@example.com,***-***-3-22
***-***-18,***-***-22,***-***-4018,***-***-2562,INVALID_CC,us***@example.com,***-***-3-27
***-***-19,***-***-25,***-***-7125,***-***-5093,XX,us***@example.com,***-***-4-01
***-***-20,***-***-62,***-***-7671,***-***-1512,UK,us***@example.com,***-***-4-06
***-***-21,***-***-18,***-***-7379,***-***-1875,IN,us***@example.com,***-***-4-11
***-***-22,***-***-29,***-***-7307,***-***-2325,US,us***@example.com,***-***-4-16
***-***-23,***-***-24,***-***-3775,***-***-8843,INVALID_CC,us***@example.com,***-***-4-21
***-***-24,***-***-37,***-***-3117,***-***-5956,XX,us***@example.com,***-***-4-26
***-***-25,***-***-62,***-***-5883,***-***-4093,UK,us***@example.com,***-***-5-01
***-***-26,***-***-23,***-***-7065,***-***-9767,IN,us***@example.com,***-***-5-06
***-***-27,***-***-42,***-***-5710,***-***-0035,US,us***@example.com,***-***-5-11
***-***-28,***-***-18,***-***-3524,***-***-0398,INVALID_CC,us***@example.com,***-***-5-16
***-***-29,***-***-52,***-***-1196,***-***-6489,XX,us***@example.com,***-***-5-21
***-***-30,***-***-27,***-***-3523,***-***-6015,UK,us***@example.com,***-***-5-26
***-***-31,***-***-32,***-***-2800,***-***-4704,IN,us***@example.com,***-***-5-31
***-***-32,***-***-56,***-***-8692,***-***-7727,US,us***@example.com,***-***-6-05
***-***-33,***-***-22,***-***-2795,***-***-2838,INVALID_CC,us***@example.com,***-***-6-10
***-***-34,***-***-64,***-***-5752,***-***-9645,XX,us***@example.com,***-***-6-15
***-***-35,***-***-27,***-***-5594,***-***-6312,UK,us***@example.com,***-***-6-20
***-***-36,***-***-41,***-***-2266,***-***-7843,IN,us***@example.com,***-***-6-25
***-***-37,***-***-53,***-***-2790,***-***-8623,US,us***@example.com,***-***-6-30
***-***-38,***-***-21,***-***-4587,***-***-3257,INVALID_CC,us***@example.com,***-***-7-05
***-***-39,***-***-26,***-***-2439,***-***-4195,XX,us***@example.com,***-***-7-10
***-***-40,***-***-37,***-***-4770,***-***-3503,UK,us***@example.com,***-***-7-15
***-***-41,***-***-19,***-***-6691,***-***-8814,IN,us***@example.com,***-***-7-20
***-***-42,***-***-18,***-***-9869,***-***-6157,US,us***@example.com,***-***-7-25
***-***-43,***-***-34,***-***-0604,***-***-7155,INVALID_CC,us***@example.com,***-***-7-30
***-***-44,***-***-49,***-***-6623,***-***-2846,XX,us***@example.com,***-***-8-04
***-***-45,***-***-47,***-***-6157,***-***-7244,UK,us***@example.com,***-***-8-09
***-***-46,***-***-62,***-***-1064,***-***-4132,IN,us***@example.com,***-***-8-14
***-***-47,***-***-46,***-***-4294,***-***-9054,US,us***@example.com,***-***-8-19
***-***-48,***-***-25,***-***-4949,***-***-8385,INVALID_CC,us***@example.com,***-***-8-24
***-***-49,***-***-41,***-***-8294,***-***-8782,XX,us***@example.com,***-***-8-29
***-***-50,***-***-28,***-***-1077,***-***-3426,UK,us***@example.com,***-***-9-03
***-***-51,***-***-59,***-***-0524,***-***-8869,IN,us***@example.com,***-***-9-08
***-***-52,***-***-53,***-***-6763,***-***-3866,US,us***@example.com,***-***-9-13
***-***-53,***-***-18,***-***-0647,***-***-8449,INVALID_CC,us***@example.com,***-***-9-18
***-***-54,***-***-25,***-***-3793,***-***-4924,XX,us***@example.com,***-***-9-23
***-***-55,***-***-41,***-***-6581,***-***-2066,UK,us***@example.com,***-***-9-28
***-***-56,***-***-999,***-***-4068,***-***-6457,IN,us***@example.com,***-***-0-03
***-***-57,***-***--1,***-***-9636,***-***-1414,US,us***@example.com,***-***-0-08
***-***-58,***-***-0,***-***-9999,***-***-4233,INVALID_CC,us***@example.com,***-***-0-13
***-***-59,***-***-200,***-***-5000,***-***-99.9,XX,us***@example.com,***-***-0-18
***-***-60,***-***-150,***-***-0,***-***-50.0,UK,us***@example.com,***-***-0-23
