uid,usr_age,annual_salary,email_address,risk_score,geo,registered_on,extra_flag,legacy_id
***-***-1,***-***-19,***-***-6267,u0***@corp.com,0.103,IN,***-***-1-01,False,L-0000
***-***-2,***-***-53,***-***-2074,u1***@corp.com,0.299,IN,***-***-1-03,False,L-0001
***-***-3,***-***-58,***-***-6259,u2***@corp.com,0.163,IN,***-***-1-05,False,L-0002
***-***-4,***-***-27,***-***-0973,u3***@corp.com,0.233,IN,***-***-1-07,False,L-0003
***-***-5,***-***-58,***-***-1621,u4***@corp.com,0.544,IN,***-***-1-09,False,L-0004
***-***-6,***-***-36,***-***-4717,u5***@corp.com,0.355,IN,***-***-1-11,True,L-0005
***-***-7,***-***-22,***-***-2277,u6***@corp.com,0.745,IN,***-***-1-13,True,L-0006
***-***-8,***-***-23,***-***-1308,u7***@corp.com,0.648,IN,***-***-1-15,False,L-0007
***-***-9,***-***-19,***-***-2609,u8***@corp.com,0.77,IN,***-***-1-17,True,L-0008
***-***-10,***-***-41,***-***-4013,u9***@corp.com,0.79,IN,***-***-1-19,False,L-0009
***-***-11,***-***-53,***-***-5165,u1***@corp.com,0.527,IN,***-***-1-21,False,L-0010
***-***-12,***-***-67,***-***-7247,u1***@corp.com,0.256,IN,***-***-1-23,False,L-0011
***-***-13,***-***-19,***-***-4782,u1***@corp.com,0.995,IN,***-***-1-25,True,L-0012
***-***-14,***-***-66,***-***-0111,u1***@corp.com,0.107,IN,***-***-1-27,True,L-0013
***-***-15,***-***-47,***-***-2811,u1***@corp.com,0.415,IN,***-***-1-29,True,L-0014
***-***-16,***-***-56,***-***-6462,u1***@corp.com,0.155,IN,***-***-1-31,False,L-0015
***-***-17,***-***-61,***-***-1371,u1***@corp.com,0.507,IN,***-***-2-02,True,L-0016
***-***-18,***-***-41,***-***-8332,u1***@corp.com,0.807,IN,***-***-2-04,True,L-0017
***-***-19,***-***-20,***-***-3508,u1***@corp.com,0.475,IN,***-***-2-06,False,L-0018
***-***-20,***-***-18,***-***-8983,u1***@corp.com,0.434,IN,***-***-2-08,True,L-0019
***-***-21,***-***-30,***-***-6774,u2***@corp.com,0.332,IN,***-***-2-10,True,L-0020
***-***-22,***-***-58,***-***-8270,u2***@corp.com,0.077,IN,***-***-2-12,True,L-0021
***-***-23,***-***-26,***-***-6539,u2***@corp.com,0.724,IN,***-***-2-14,True,L-0022
***-***-24,***-***-38,***-***-8619,u2***@corp.com,0.751,IN,***-***-2-16,False,L-0023
***-***-25,***-***-57,***-***-0581,u2***@corp.com,0.615,IN,***-***-2-18,True,L-0024
***-***-26,***-***-33,***-***-4983,u2***@corp.com,0.902,IN,***-***-2-20,False,L-0025
***-***-27,***-***-65,***-***-4634,u2***@corp.com,0.133,IN,***-***-2-22,True,L-0026
***-***-28,***-***-45,***-***-2875,u2***@corp.com,0.201,IN,***-***-2-24,False,L-0027
***-***-29,***-***-55,***-***-0645,u2***@corp.com,0.848,IN,***-***-2-26,False,L-0028
***-***-30,***-***-64,***-***-5760,u2***@corp.com,0.661,IN,***-***-2-28,True,L-0029
***-***-31,***-***-54,***-***-7523,u3***@corp.com,0.516,IN,***-***-3-01,True,L-0030
***-***-32,***-***-62,***-***-7671,u3***@corp.com,0.773,IN,***-***-3-03,False,L-0031
***-***-33,***-***-35,***-***-7148,u3***@corp.com,0.776,IN,***-***-3-05,False,L-0032
***-***-34,***-***-27,***-***-5517,u3***@corp.com,0.555,IN,***-***-3-07,True,L-0033
***-***-35,***-***-50,***-***-2235,u3***@corp.com,0.69,IN,***-***-3-09,True,L-0034
***-***-36,***-***-39,***-***-9545,u3***@corp.com,0.249,IN,***-***-3-11,False,L-0035
***-***-37,***-***-65,***-***-1589,u3***@corp.com,0.703,IN,***-***-3-13,True,L-0036
***-***-38,***-***-59,***-***-0333,u3***@corp.com,0.399,IN,***-***-3-15,False,L-0037
***-***-39,***-***-53,***-***-9879,u3***@corp.com,0.618,IN,***-***-3-17,True,L-0038
***-***-40,***-***-37,***-***-5031,u3***@corp.com,0.601,IN,***-***-3-19,True,L-0039
***-***-41,***-***-40,***-***-2472,u4***@corp.com,0.611,IN,***-***-3-21,True,L-0040
***-***-42,***-***-44,***-***-7544,u4***@corp.com,0.703,IN,***-***-3-23,True,L-0041
***-***-43,***-***-68,***-***-1040,u4***@corp.com,0.077,IN,***-***-3-25,False,L-0042
***-***-44,***-***-23,***-***-0446,u4***@corp.com,0.212,IN,***-***-3-27,False,L-0043
***-***-45,***-***-30,***-***-4546,u4***@corp.com,0.298,IN,***-***-3-29,False,L-0044
***-***-46,***-***-50,***-***-2515,u4***@corp.com,0.966,IN,***-***-3-31,True,L-0045
***-***-47,***-***-45,***-***-7732,u4***@corp.com,0.658,IN,***-***-4-02,False,L-0046
***-***-48,***-***-19,***-***-2176,u4***@corp.com,0.174,IN,***-***-4-04,False,L-0047
***-***-49,***-***-62,***-***-7784,u4***@corp.com,0.682,IN,***-***-4-06,True,L-0048
***-***-50,***-***-29,***-***-6571,u4***@corp.com,0.841,IN,***-***-4-08,False,L-0049
***-***-51,***-***-68,***-***-6640,u5***@corp.com,0.9,IN,***-***-4-10,True,L-0050
***-***-52,***-***-29,***-***-2334,u5***@corp.com,0.208,IN,***-***-4-12,False,L-0051
***-***-53,***-***-47,***-***-0537,u5***@corp.com,0.948,IN,***-***-4-14,False,L-0052
***-***-54,***-***-49,***-***-1578,u5***@corp.com,0.232,IN,***-***-4-16,True,L-0053
***-***-55,***-***-67,***-***-7664,u5***@corp.com,0.154,IN,***-***-4-18,False,L-0054
***-***-56,***-***-59,***-***-3688,u5***@corp.com,0.631,IN,***-***-4-20,False,L-0055
***-***-57,***-***-51,***-***-7124,u5***@corp.com,0.037,IN,***-***-4-22,True,L-0056
***-***-58,***-***-30,***-***-3115,u5***@corp.com,0.796,IN,***-***-4-24,False,L-0057
***-***-59,***-***-31,***-***-5409,u5***@corp.com,0.143,IN,***-***-4-26,False,L-0058
***-***-60,***-***-30,***-***-5549,u5***@corp.com,0.086,IN,***-***-4-28,False,L-0059
***-***-61,***-***-53,***-***-4208,u6***@corp.com,0.819,IN,***-***-4-30,True,L-0060
***-***-62,***-***-42,***-***-3879,u6***@corp.com,0.963,IN,***-***-5-02,False,L-0061
***-***-63,***-***-58,***-***-6073,u6***@corp.com,0.761,IN,***-***-5-04,True,L-0062
***-***-64,***-***-27,***-***-7138,u6***@corp.com,0.819,IN,***-***-5-06,True,L-0063
***-***-65,***-***-68,***-***-8042,u6***@corp.com,0.937,IN,***-***-5-08,True,L-0064
***-***-66,***-***-58,***-***-4975,u6***@corp.com,0.414,IN,***-***-5-10,False,L-0065
***-***-67,***-***-29,***-***-3930,u6***@corp.com,0.319,IN,***-***-5-12,True,L-0066
***-***-68,***-***-18,***-***-8087,u6***@corp.com,0.707,IN,***-***-5-14,False,L-0067
***-***-69,***-***-41,***-***-1430,u6***@corp.com,0.628,IN,***-***-5-16,True,L-0068
***-***-70,***-***-29,***-***-5098,u6***@corp.com,0.685,IN,***-***-5-18,False,L-0069
